,날짜,종가,전일비,시가,고가,저가,거래량
1,2021.06.17,147000.0,4000.0,142000.0,149500.0,140500.0,4404754.0
2,2021.06.16,143000.0,1500.0,144000.0,146000.0,142500.0,4996272.0
3,2021.06.15,144500.0,2000.0,143500.0,144500.0,140500.0,4950329.0
4,2021.06.14,142500.0,7000.0,136000.0,143000.0,136000.0,6240394.0
5,2021.06.11,135500.0,2000.0,134500.0,136500.0,132000.0,3674400.0
9,2021.06.10,133500.0,4500.0,130000.0,135000.0,129500.0,5564011.0
10,2021.06.09,129000.0,500.0,128500.0,130000.0,128500.0,1936747.0
11,2021.06.08,128500.0,2500.0,127000.0,128500.0,126500.0,2248373.0
12,2021.06.07,126000.0,2000.0,125000.0,127000.0,125000.0,1905198.0
13,2021.06.04,124000.0,2500.0,126000.0,126000.0,123000.0,2668254.0
16,2021.06.03,126500.0,500.0,127500.0,128500.0,126000.0,1737466.0
17,2021.06.02,127000.0,0.0,128000.0,129500.0,126000.0,2597446.0
18,2021.06.01,127000.0,4000.0,123500.0,127000.0,123000.0,3573808.0
19,2021.05.31,123000.0,1000.0,122000.0,123000.0,120500.0,2299358.0
20,2021.05.28,122000.0,3000.0,125000.0,125500.0,120500.0,3685820.0
24,2021.05.27,125000.0,5500.0,120000.0,125000.0,119500.0,7398732.0
25,2021.05.26,119500.0,1500.0,118500.0,120000.0,117500.0,2308405.0
26,2021.05.25,118000.0,1500.0,117000.0,118000.0,116000.0,1777001.0
27,2021.05.24,116500.0,500.0,116500.0,118000.0,115500.0,1715308.0
28,2021.05.21,117000.0,3500.0,116000.0,119000.0,114500.0,3018548.0
31,2021.05.20,113500.0,500.0,112500.0,115500.0,112000.0,2135101.0
32,2021.05.18,113000.0,2500.0,111500.0,114500.0,111000.0,1585701.0
33,2021.05.17,110500.0,1500.0,109000.0,111000.0,109000.0,1656454.0
34,2021.05.14,109000.0,500.0,109500.0,111500.0,108000.0,2276082.0
35,2021.05.13,109500.0,3500.0,109000.0,111000.0,108000.0,4201490.0
39,2021.05.12,113000.0,1500.0,115000.0,115500.0,112000.0,2558482.0
40,2021.05.11,114500.0,1500.0,115000.0,117000.0,114500.0,1875600.0
41,2021.05.10,116000.0,1500.0,115500.0,116500.0,114500.0,1898994.0
42,2021.05.07,114500.0,500.0,115500.0,117000.0,114000.0,2040844.0
43,2021.05.06,115000.0,500.0,115000.0,117500.0,113500.0,3234424.0
46,2021.05.04,115500.0,1000.0,113500.0,116000.0,112000.0,2228466.0
47,2021.05.03,114500.0,1000.0,112500.0,116000.0,110000.0,2832622.0
48,2021.04.30,113500.0,3500.0,117000.0,117000.0,113000.0,4405688.0
49,2021.04.29,117000.0,2500.0,120000.0,120500.0,115500.0,3445462.0
50,2021.04.28,119500.0,2000.0,121500.0,122000.0,119000.0,2276272.0
54,2021.04.27,121500.0,3500.0,118500.0,124500.0,118500.0,5332544.0
55,2021.04.26,118000.0,500.0,118000.0,118000.0,117500.0,1729458.0
56,2021.04.23,117500.0,0.0,116500.0,118500.0,114500.0,2473720.0
57,2021.04.22,117500.0,500.0,118000.0,119500.0,117500.0,2279180.0
58,2021.04.21,118000.0,1500.0,119500.0,119500.0,117000.0,4461636.0
61,2021.04.20,119500.0,500.0,119000.0,121000.0,118000.0,2952174.0
62,2021.04.19,119000.0,0.0,120000.0,122000.0,117500.0,5441693.0
63,2021.04.16,119000.0,1500.0,115500.0,120500.0,115500.0,13709555.0
64,2021.04.15,120500.0,8500.0,120500.0,132500.0,118000.0,17115015.0
65,2021.04.14,558000.0,0.0,0.0,0.0,0.0,0.0
69,2021.04.13,558000.0,0.0,0.0,0.0,0.0,0.0
70,2021.04.12,558000.0,0.0,0.0,0.0,0.0,0.0
71,2021.04.09,558000.0,10000.0,554000.0,561000.0,551000.0,788839.0
72,2021.04.08,548000.0,6000.0,539000.0,561000.0,534000.0,912514.0
73,2021.04.07,542000.0,2000.0,544000.0,544000.0,526000.0,820896.0
76,2021.04.06,544000.0,42000.0,506000.0,545000.0,505000.0,1724958.0
77,2021.04.05,502000.0,1000.0,503000.0,505000.0,500000.0,310400.0
78,2021.04.02,501000.0,2000.0,508000.0,508000.0,499000.0,298641.0
79,2021.04.01,499000.0,1000.0,500000.0,504000.0,492000.0,412423.0
80,2021.03.31,498000.0,4500.0,494000.0,505000.0,491000.0,503036.0
84,2021.03.30,493500.0,6000.0,490000.0,497000.0,489500.0,311073.0
85,2021.03.29,487500.0,7500.0,496000.0,496500.0,485000.0,349113.0
86,2021.03.26,495000.0,10000.0,488000.0,495000.0,486000.0,384547.0
87,2021.03.25,485000.0,7000.0,490000.0,491000.0,482000.0,388531.0
88,2021.03.24,492000.0,1500.0,486500.0,492000.0,482000.0,288563.0
91,2021.03.23,490500.0,3500.0,496000.0,503000.0,485500.0,379964.0
92,2021.03.22,494000.0,1500.0,493000.0,496500.0,488000.0,315035.0
93,2021.03.19,492500.0,5500.0,488500.0,497000.0,484000.0,516981.0
94,2021.03.18,498000.0,13000.0,488500.0,504000.0,486000.0,771697.0
95,2021.03.17,485000.0,6000.0,479000.0,491000.0,478000.0,403953.0
99,2021.03.16,479000.0,0.0,481000.0,485000.0,478000.0,270853.0
100,2021.03.15,479000.0,2000.0,480000.0,482000.0,472000.0,345981.0
101,2021.03.12,481000.0,2000.0,489000.0,490000.0,477000.0,435063.0
102,2021.03.11,479000.0,19000.0,460500.0,484500.0,457000.0,928091.0
103,2021.03.10,460000.0,19000.0,452500.0,464500.0,449000.0,899669.0
106,2021.03.09,441000.0,13000.0,448500.0,451500.0,434500.0,1068670.0
107,2021.03.08,454000.0,17000.0,472000.0,474500.0,454000.0,681524.0
108,2021.03.05,471000.0,11000.0,469000.0,474000.0,463000.0,712633.0
109,2021.03.04,482000.0,11500.0,487500.0,490000.0,481000.0,694890.0
110,2021.03.03,493500.0,2000.0,490500.0,495000.0,488000.0,528321.0
114,2021.03.02,491500.0,3500.0,499000.0,504000.0,490000.0,922034.0
115,2021.02.26,488000.0,3500.0,497500.0,502000.0,480500.0,1617276.0
116,2021.02.25,484500.0,11000.0,478000.0,484500.0,473500.0,562549.0
117,2021.02.24,473500.0,13500.0,487000.0,492500.0,472500.0,667209.0
118,2021.02.23,487000.0,3500.0,481500.0,492500.0,477000.0,665417.0
121,2021.02.22,490500.0,13500.0,505000.0,510000.0,490000.0,640993.0
122,2021.02.19,504000.0,3000.0,497000.0,506000.0,490000.0,695664.0
123,2021.02.18,501000.0,8000.0,506000.0,517000.0,501000.0,466922.0
124,2021.02.17,509000.0,5000.0,515000.0,515000.0,503000.0,562572.0
125,2021.02.16,514000.0,12000.0,504000.0,519000.0,499500.0,1076048.0
129,2021.02.15,502000.0,12500.0,499000.0,505000.0,492000.0,1052548.0
130,2021.02.10,489500.0,28500.0,466000.0,490500.0,466000.0,1814483.0
131,2021.02.09,461000.0,4000.0,460000.0,467500.0,452500.0,735565.0
132,2021.02.08,457000.0,2000.0,455000.0,462000.0,450000.0,516115.0
133,2021.02.05,455000.0,500.0,457000.0,461000.0,447500.0,408416.0
136,2021.02.04,454500.0,7500.0,463000.0,463000.0,449000.0,516837.0
137,2021.02.03,462000.0,16500.0,450500.0,462000.0,447000.0,758097.0
138,2021.02.02,445500.0,4000.0,450000.0,457000.0,443500.0,662905.0
139,2021.02.01,441500.0,500.0,436000.0,443000.0,425000.0,910101.0
140,2021.01.29,441000.0,17000.0,460000.0,460500.0,436000.0,1070093.0
144,2021.01.28,458000.0,7000.0,454000.0,468500.0,452000.0,921812.0
145,2021.01.27,465000.0,4000.0,463000.0,477000.0,461000.0,719814.0
146,2021.01.26,461000.0,12500.0,479000.0,479000.0,460500.0,812266.0
147,2021.01.25,473500.0,10500.0,472000.0,475500.0,460000.0,720170.0
148,2021.01.22,463000.0,9000.0,456000.0,476000.0,452500.0,1162395.0
151,2021.01.21,454000.0,10000.0,452500.0,461000.0,452000.0,679093.0
152,2021.01.20,444000.0,4000.0,448000.0,450000.0,437000.0,596340.0
153,2021.01.19,440000.0,12500.0,428000.0,444500.0,428000.0,583997.0
154,2021.01.18,427500.0,10000.0,433500.0,441500.0,427000.0,839984.0
155,2021.01.15,437500.0,14000.0,452000.0,459000.0,436500.0,995726.0
159,2021.01.14,451500.0,3000.0,454000.0,463000.0,450000.0,802076.0
160,2021.01.13,454500.0,3000.0,458500.0,462000.0,449500.0,806402.0
161,2021.01.12,457500.0,4500.0,446000.0,460000.0,433000.0,1577872.0
162,2021.01.11,453000.0,19000.0,441000.0,463000.0,429000.0,3157747.0
163,2021.01.08,434000.0,31500.0,413000.0,436000.0,404500.0,2466715.0
166,2021.01.07,402500.0,7000.0,402000.0,403500.0,393000.0,775191.0
167,2021.01.06,395500.0,2500.0,395000.0,410000.0,394500.0,1435715.0
168,2021.01.05,393000.0,3000.0,393000.0,395500.0,387000.0,748559.0
169,2021.01.04,396000.0,6500.0,392000.0,396500.0,385500.0,853740.0
170,2020.12.30,389500.0,5000.0,384500.0,394000.0,383500.0,813142.0
174,2020.12.29,384500.0,11500.0,381000.0,385500.0,378000.0,857404.0
175,2020.12.28,373000.0,1000.0,374500.0,377000.0,369500.0,646464.0
176,2020.12.24,374000.0,3500.0,378500.0,380000.0,372000.0,465132.0
177,2020.12.23,377500.0,1500.0,381000.0,385500.0,377000.0,629952.0
178,2020.12.22,376000.0,3500.0,380000.0,389500.0,375500.0,876516.0
181,2020.12.21,379500.0,12500.0,367000.0,380000.0,367000.0,819879.0
182,2020.12.18,367000.0,2000.0,369000.0,369500.0,365500.0,427433.0
183,2020.12.17,369000.0,3000.0,374000.0,374000.0,368500.0,455131.0
184,2020.12.16,372000.0,1000.0,373500.0,375000.0,371000.0,269253.0
185,2020.12.15,371000.0,2500.0,373500.0,375500.0,369000.0,393157.0
189,2020.12.14,373500.0,1000.0,376500.0,381000.0,372500.0,480288.0
190,2020.12.11,374500.0,4000.0,374000.0,380000.0,373000.0,438405.0
191,2020.12.10,370500.0,4500.0,371000.0,378000.0,367500.0,818557.0
192,2020.12.09,375000.0,500.0,375000.0,378000.0,373000.0,579905.0
193,2020.12.08,374500.0,10500.0,387500.0,388000.0,374000.0,768600.0
196,2020.12.07,385000.0,4500.0,395000.0,395000.0,380500.0,894743.0
197,2020.12.04,389500.0,15500.0,374000.0,392500.0,371000.0,1561745.0
198,2020.12.03,374000.0,1000.0,373000.0,374000.0,369000.0,464371.0
199,2020.12.02,373000.0,1500.0,375500.0,375500.0,371000.0,440500.0
200,2020.12.01,374500.0,6500.0,369500.0,375000.0,369000.0,452723.0
204,2020.11.30,368000.0,5000.0,373000.0,374000.0,368000.0,544990.0
205,2020.11.27,373000.0,1000.0,375500.0,377500.0,371000.0,335836.0
206,2020.11.26,374000.0,7000.0,367500.0,374500.0,366500.0,539570.0
207,2020.11.25,367000.0,6000.0,377500.0,377500.0,366000.0,703279.0
208,2020.11.24,373000.0,6000.0,366500.0,377000.0,366500.0,649755.0
211,2020.11.23,367000.0,1500.0,368500.0,369000.0,365000.0,363196.0
212,2020.11.20,365500.0,0.0,366500.0,368000.0,362000.0,267266.0
213,2020.11.19,365500.0,0.0,367500.0,371500.0,365500.0,430120.0
214,2020.11.18,365500.0,3500.0,360000.0,368500.0,359500.0,484493.0
215,2020.11.17,362000.0,0.0,358000.0,365000.0,356000.0,452275.0
219,2020.11.16,362000.0,3500.0,371000.0,371500.0,359500.0,557987.0
220,2020.11.13,365500.0,8000.0,355000.0,366000.0,355000.0,538206.0
221,2020.11.12,357500.0,2000.0,360000.0,364500.0,355000.0,555279.0
222,2020.11.11,355500.0,500.0,351500.0,358500.0,347500.0,713843.0
223,2020.11.10,356000.0,15500.0,357500.0,361500.0,354000.0,1105100.0
226,2020.11.09,371500.0,1000.0,375000.0,376000.0,367500.0,593735.0
227,2020.11.06,370500.0,7500.0,367000.0,380500.0,365500.0,1315572.0
228,2020.11.05,363000.0,3500.0,359000.0,368500.0,353000.0,1061367.0
229,2020.11.04,359500.0,23000.0,340500.0,361000.0,340000.0,1431026.0
230,2020.11.03,336500.0,2000.0,334500.0,339000.0,332000.0,403786.0
234,2020.11.02,334500.0,4500.0,330500.0,335500.0,328000.0,319856.0
235,2020.10.30,330000.0,13000.0,343000.0,344000.0,330000.0,553748.0
236,2020.10.29,343000.0,3500.0,342000.0,345500.0,338500.0,491546.0
237,2020.10.28,346500.0,12500.0,335500.0,346500.0,335000.0,629567.0
238,2020.10.27,334000.0,4500.0,324500.0,343500.0,324500.0,812610.0
