,taste,quantity,delivery,reviews,store_name
0,1,2,5,신메뉴 출시기념으로 먹어봤지만 완전 별로였음..다른 기존 메뉴드세요,버거킹-신림역점
1,3,4,4,흐음..............,버거킹-신림역점
2,2,2,2,감자는 빼고 줘서 다시보내줌;;,버거킹-신림역점
3,3,4,5,버거보거킹킽킽킹킹킹티팉ㅇ,버거킹-신림역점
4,4,5,3,배달이 좀 늦었어요,버거킹-신림역점
5,5,4,1,맛이야 버거킹 맛있는건 다알죠 근데 문 앞에 두고 문자 부탁한다고 요청사항 체크해놨는데 연락도 없이 문 쿵쿵 두드리고 그냥 갔습니다 거실에 아버지가 계셔서 들었으니 망정이지 놓고 간지도 모를뻔 했네요 진짜 배달음식 시키면서 제일 짜증나고 빡치는게 이건데 아 ㅋㅋ 진짜 다음엔 요청사항좀 봐주십쇼,버거킹-신림역점
6,3,3,3,버커킹 시켰는데 KFC콜라가 왔어요 레전드 ㅋㅋㅋ 실화 입니다 다른 누군가는 KFC 시켰는데 버커킹 콜라를 받으셨겠네요,버거킹-신림역점
7,3,4,4,맛있게 잘 먹었습니다,버거킹-신림역점
8,3,3,1,될수있으면 배달을 안시켜야겠습니다. 음식점 수령후 어디를 돌아다니다가 온건지 다식어서 왔습니다.,버거킹-신림역점
9,3,3,3,맛있게 잘 먹었습니다,버거킹-신림역점
10,3,3,3,맛있게 잘 먹었습니다,버거킹-신림역점
11,3,3,3,감튀가.. 식은것도 아니고 익은것도 아니고 밀가루 먹는 맛이 나서 에어프라이기에 다시 돌려먹었네요ㅠㅠㅠ 그래도 버거는 맛있었어요!,버거킹-신림역점
12,3,3,1,통새우버거 맛있지만 셋트에 포함된 감자튀김이랑 따로시킨 어니언링 눅진하니 먹고싶지않은 맛이에요 튀김의 생명을 잃은듯 어제 튀겨놓고 오늘 먹는 맛 이에요,버거킹-신림역점
13,3,3,3,맛있어요 다으멩또 시킬게여~~~,버거킹-신림역점
14,1,2,4,돈에비해 밋이너무없네요 식은음식을 보내와서 먹는데 힘들었어요 ㅠㅠ 다시는 이 햄버거주문 안함 ㅠㅠ,버거킹-신림역점
15,1,1,1,배달업체 바꿔야할듯 날도 별로 안추운데 버거가 한시간은 여기저기 뺑뺑이 돌고온듯 엄청 차가운상태로옴,버거킹-신림역점
16,2,2,1,문앞에 뒀으면 문자나 벨이라도 누르고 가시던지 제대로 세워두던지 음료 누워있고 다흘러서 먹을껀 없고 다식어빠지고 이런거 어찌해야하나요?,버거킹-신림역점
17,5,5,3,포장이 문제인건지 배달이 문제인건지 콜라 하나가 샜어요. 그거 빼곤 만족합니다.,버거킹-신림역점
18,3,4,4,"배달은 생각보다 빨리 왔는데, 햄버거가 많이 식어 있었네요",버거킹-신림역점
19,3,3,1,배달 너무 느려요 그래도 맛있게 먹었습니다,버거킹-신림역점
20,2,3,2,햄버거랑. 감자튀김이 다 식어서 왔네요! 좀 실망스러워요~,버거킹-신림역점
21,1,1,1,아니 길이얼마나 막히길래 1시간이넘어서 오나여..비나눈이와도 이정도는아니던데..감자튀김은식어서 딱딱하고 햄버거는 전자렌지에 돌려먹어야하고..리뷰를쓰면모합니까..개선이대는모습은하나두없는데여,버거킹-신림역점
22,4,4,3,아이스 안빼주셧어요,버거킹-신림역점
23,5,3,5,이벤트라 시켰지만 금액에 비해 양은 많지 않아서 가성비는 그리 좋지 않은 것 같습니다. 그래도 맛있어서 적당히 든든하게 잘 먹었습니다!,버거킹-신림역점
24,3,3,3,....................,버거킹-신림역점
25,3,3,3,바쁜시간대가아닌듯하여 주뭇 그러나 배달이 넘 느려서 다 식어서 온 눅눅한버거 역시! 버거는 주문이 옳지않다!!!,버거킹-신림역점
26,4,5,3,오늘은 .. 감자튀김이 차가워요 🥲,버거킹-신림역점
27,5,5,3,믿고 먹는 버거킹.. 배달은 그냥 그럭저럭...,버거킹-신림역점
28,4,4,2,식어서 왔어요 ㅠㅠㅠㅠ 얼음은 다 녹구 ㅠㅠㅠㅠ,버거킹-신림역점
29,4,3,5,엄마상어는 별로구 아빠상어는 맛있네요,버거킹-신림역점
30,1,1,1,늘 맛나게 먹고있습니다만 매장과 집거리를 고려했을때 바쁘셔서 배달이 늦어지는건알겠는데 배달시간차 고려안하고 주문들어오면 그냥만들어놓고 대기태우시나봐요 다식어가지고 온기라곤 없네요 교대시간이든 배달하시는분들하고 불화든 손님음식은 신경써야하는거 아닙니까? 거리나 멀면 그런가보다하죠 걸어서 5분거리 배달하시는분들이 한꺼번에 열몇개씩 돌다온거면 그곳 책임자 능력부족아닌가요? 늦어지더라도 음식을 먹고싶게 보내야죠 한시간 넘게 기다려 이런음식 받아봐요,버거킹-신림역점
31,4,4,3,콜라 안왛네요 스트로우만 오고,버거킹-신림역점
32,3,5,4,오늘은양도많고적당한데 맛을덜먹음 맛나게먹음,버거킹-신림역점
33,3,3,4,배달은 빠르지만 라지같지않은 라지 감튀,버거킹-신림역점
34,3,5,5,너무 느끼해서 먹다 버렸어요,버거킹-신림역점
35,3,5,5,몬스터와퍼시켰는데 소스가..... 일단 배도고프고 귀찮아서 그냥억는데 소스...ㅠ 맛은있지만 몬스터와퍼 소스가좋아서 먹는데 좀 슬프네요,버거킹-신림역점
36,4,4,1,배달개느림 실망스럽고 유감임,버거킹-신림역점
37,5,5,3,버거세트 4개였는데..음료는 3개.. 기본적인거 한번더 확인해주셨으면..,버거킹-신림역점
38,1,1,1,배달1시간걸리는게말입니까? 그런식으로배달할거면 대행업체쓰지마세요 대표가직접배달해보세요,버거킹-신림역점
39,3,4,5,패티 비린내나요 스태커 비추,버거킹-신림역점
40,5,4,3,젤 좋아하는 버거브랜드~~야채추가도 개인추가 자유롭게,버거킹-신림역점
41,4,5,3,크고 맛있음~뻑뻑해서 야채선택하게 해주면 좋겠어요~~ㄱ,버거킹-신림역점
42,1,1,1,음료 안옴ㅡㅡㅋㅋ 후 배달도 너무느리고..,버거킹-신림역점
43,4,3,5,문앞에 놓으시고 친절히 문자주심.,버거킹-신림역점
44,1,1,3,분명 와퍼 외 직화소불고기 주문했는데 패티가 튀긴 치킨이 온건 뭔가요? 치킨 시킨 일 1도 없거든여? 전화하려보니 12시 마감이라 따질수도 없고 소스는 도대체 넣은건지 재료 아끼세여? 버거킹 믿고 주문하는데 이건 아니져,버거킹-신림역점
45,5,3,5,맛있어요. 근데 감자튀김 라지로 바꿔서 시켰는데 양은 보통이랑 똑같네요ㅠ 뜯자마자 하나도 안먹고 찍은건데..,버거킹-신림역점
46,3,3,4,맛나게먹음 다먹어서 이전사진임,버거킹-신림역점
47,4,3,4,맛있게 먹었습니다 감사합니다,버거킹-신림역점
48,5,5,3,이거 세끼 먹음. 안이 다 고기예요.,버거킹-신림역점
49,3,4,1,배달 예상시간 12시28분인대 1시12분에옴 배달 너무느리고 감튀도 다식어서옴,버거킹-신림역점
50,1,1,1,오십분걸린데서 시켰더니 오십분은 무슨 1시간넘게 연락도안되네요 버거킹은 먹어도 여기선 죽어도 안먹습니다,버거킹-신림역점
51,5,2,1,버거킹 배달 중 가장 최악이네요. 일단 배달 지연인지 확인차 요기요 측에 요청을 했지만 20분간 배달진행사항파악이 불가하고 딱히 사후 대처에 대한 안내가 없이 다른 부서로 넘기기 빠쁘더군요. 배달원은 뒤늦게 왔지만 자신은 20분내로 배달을 했다더군요. 이는 도착시간보다 이후에 출발한것이며 이미 음식은 다 식어서 손도 못대는 상황입니다 평점 1점은 처음써보네요 무엇보다 요기요측에 실망이 큽니다.,버거킹-신림역점
52,4,5,3,좋아용 맛있어요 롯데 맥 보다 양이 좋음,버거킹-신림역점
53,3,5,5,벌써 다먹고 리뷰 남깁니다ㅡ체다치즈만없으면 개인적으로 맛있겠네요.,버거킹-신림역점
54,5,5,3,맛은 정말 야무지게 맛있었는데 치즈스틱이 굳어있고 튀김이 눅눅했어용. 그래도 맛있게 잘먹었습니다!,버거킹-신림역점
55,5,5,1,뭐 버거킹이니까 맛있었습니다 근데 그 부릉 기사는 교육이 좀 필요해보입니다 문 딱 열었드만 한손에 음식을 내민상태로 다른손으론 핸드폰을 보고있더군요 제가 먼저 안녕하세요 감사합니다 라고 인사하며 음식 받앗더니 그냥 핸드폰 보고있는상태로 가네요 기본적인 교육은 시키고 일시켰으면 좋겠네요 기분좋게 나갔다가 기분만 상하고 들어왔어요,버거킹-신림역점
56,4,4,3,맛잇게 잘 먹었습니다,버거킹-신림역점
57,4,5,1,엄청 차갑네요...........,버거킹-신림역점
