,taste,quantity,delivery,reviews,store_name
0,1,5,5,치킨은 치킨 전문점에서...,롯데리아-소공2호점
1,5,3,5,숰살치킨하프팩 양 실화? 한 10개 들어있던거같아요..가성비제로.. 햄버거는 맛있게 잘먹었어요~,롯데리아-소공2호점
2,5,5,3,맛있어요 새우버거,롯데리아-소공2호점
3,5,5,3,프로모션때문인지 배달은 좀 늦었는데 맛있게 잘먹었어요~~,롯데리아-소공2호점
4,3,1,1,감자 튀김 하나 못 왔어요 ㅜㅜ 바달 시간 넌무 느려요.....,롯데리아-소공2호점
5,4,3,3,야채라이스불고기 콤보 양이 좀 적게 나와서 아쉬웠어요.,롯데리아-소공2호점
6,4,4,2,육천원 할인된다기에 주문해봤습니다~,롯데리아-소공2호점
7,5,5,1,베이컨 토핑이 빠져서 왔어요. 말씀 드리니깐 다시 해서 가져다 줬어요,롯데리아-소공2호점
8,3,3,1,오늘은 배송이 많이 느리네요.,롯데리아-소공2호점
9,3,3,4,"오늘 점심은, 모짜렐라 치즈 버거와 바싹한 치킨으로..",롯데리아-소공2호점
10,3,3,3,맛있게 잘먹었습니다.,롯데리아-소공2호점
11,3,3,5,빠른 배송 좋아요...,롯데리아-소공2호점
12,1,1,1,밸루 밸루 밸루 밸루 밸루,롯데리아-소공2호점
13,1,3,1,배달20분늦음 다식어옴 ㅋ,롯데리아-용산역사점
14,4,3,4,배달은 30분 걸렸고 배달비 할인이라 좋았어요. 맛있게 잘 먹었습니다,롯데리아-용산역사점
15,5,4,3,배달이 늦어지면서 감자칩이 다식고 음료가 칩에 쏟아져서 다시 보내달라고 요청하니 다시보내주셔서 잘먹었습니다.,롯데리아-용산역사점
16,1,1,1,음식이 안오네요 다시는 주문안하고싶어요,롯데리아-용산역사점
17,4,5,3,맛은 롯데리아 맛.. 숙대점에서 오는거랑 배달속도에 별 차이가 없네요. 바로 집 앞인데;;,롯데리아-용산역사점
18,1,2,2,믿고먹는 롯데리아 롯데리아,롯데리아-영등포역사점
19,3,5,5,가까운곳이여서인지 배달도 적당한 시간에 잘 와주시고 아쉬운점은 너무 식어서 차갑게 왔네요,롯데리아-영등포역사점
20,1,3,5,사각새우버거 : 느끼함 일반새우버거가 나음 빅불고기버거 : 불고기소스가 너무 적음 패티와 치즈맛만 나니 편의점 버거맛과 유사 결론 : 다시는 안시킴,롯데리아-영등포역사점
21,4,4,2,예상보다 빠르게 도착해서 좋았네요,롯데리아-영등포역사점
